crop_name,state_code,harvest_year,model,predicted_pct,actual_pct,trend_kg_ha,yield_kg_ha,role
SOJA,PR,2014,ridge_by_state,-3.395669,-3.138029,3045.570909,2950.0,model
SOJA,RS,2014,ridge_by_state,-7.132531,15.236468,2260.577792,2605.01,model
SOJA,BA,2015,baseline_trend,0.0,-0.844558,2965.051581,2940.01,baseline
SOJA,GO,2015,baseline_trend,0.0,-18.227025,3172.172727,2593.98,baseline
SOJA,MG,2015,baseline_trend,0.0,-12.419946,3049.769763,2670.99,baseline
SOJA,MS,2015,baseline_trend,0.0,8.881107,2865.529289,3120.02,baseline
SOJA,MT,2015,baseline_trend,0.0,-3.206394,3239.883439,3136.0,baseline
SOJA,PR,2015,baseline_trend,0.0,7.692442,3058.710474,3294.0,baseline
SOJA,RS,2015,baseline_trend,0.0,27.527746,2345.379802,2991.01,baseline
SOJA,BA,2015,ridge_by_state,-1.518511,-0.844558,2965.051581,2940.01,model
SOJA,GO,2015,ridge_by_state,-3.506513,-18.227025,3172.172727,2593.98,model
SOJA,MG,2015,ridge_by_state,-5.219085,-12.419946,3049.769763,2670.99,model
SOJA,MS,2015,ridge_by_state,-14.022137,8.881107,2865.529289,3120.02,model
SOJA,MT,2015,ridge_by_state,-1.921912,-3.206394,3239.883439,3136.0,model
SOJA,PR,2015,ridge_by_state,-3.356061,7.692442,3058.710474,3294.0,model
SOJA,RS,2015,ridge_by_state,-1.784345,27.527746,2345.379802,2991.01,model
SOJA,BA,2016,baseline_trend,0.0,-30.23597,3014.476087,2103.02,baseline
SOJA,GO,2016,baseline_trend,0.0,-0.002372,3120.074022,3120.0,baseline
SOJA,MG,2016,baseline_trend,0.0,6.577112,3031.59837,3230.99,baseline
SOJA,MS,2016,baseline_trend,0.0,1.363602,2939.911304,2980.0,baseline
SOJA,MT,2016,baseline_trend,0.0,-11.677333,3255.110036,2875.0,baseline
SOJA,PR,2016,baseline_trend,0.0,-1.054074,3126.647174,3093.69,baseline
SOJA,RS,2016,baseline_trend,0.0,19.679835,2481.62942,2970.01,baseline
SOJA,BA,2016,ridge_by_state,-14.825496,-30.23597,3014.476087,2103.02,model
SOJA,GO,2016,ridge_by_state,-3.261274,-0.002372,3120.074022,3120.0,model
SOJA,MG,2016,ridge_by_state,-4.45339,6.577112,3031.59837,3230.99,model
SOJA,MS,2016,ridge_by_state,-1.337094,1.363602,2939.911304,2980.0,model
SOJA,MT,2016,ridge_by_state,-3.075078,-11.677333,3255.110036,2875.0,model
SOJA,PR,2016,ridge_by_state,-2.135595,-1.054074,3126.647174,3093.69,model
SOJA,RS,2016,ridge_by_state,-5.281976,19.679835,2481.62942,2970.01,model
SOJA,BA,2017,baseline_trend,0.0,10.951068,2921.9908,3241.98,baseline
SOJA,GO,2017,baseline_trend,0.0,7.295855,3158.547,3388.99,baseline
SOJA,MG,2017,baseline_trend,0.0,12.088498,3104.6718,3479.98,baseline
SOJA,MS,2017,baseline_trend,0.0,14.061576,2980.8373,3399.99,baseline
SOJA,MT,2017,baseline_trend,0.0,2.114391,3225.7941,3294.0,baseline
SOJA,PR,2017,baseline_trend,0.0,20.382292,3152.4487,3794.99,baseline
SOJA,RS,2017,baseline_trend,0.0,30.334022,2594.8712,3382.0,baseline
SOJA,BA,2017,ridge_by_state,-6.485588,10.951068,2921.9908,3241.98,model
SOJA,GO,2017,ridge_by_state,-2.980251,7.295855,3158.547,3388.99,model
SOJA,MG,2017,ridge_by_state,-4.958605,12.088498,3104.6718,3479.98,model
SOJA,MS,2017,ridge_by_state,-0.353653,14.061576,2980.8373,3399.99,model
SOJA,MT,2017,ridge_by_state,1.223886,2.114391,3225.7941,3294.0,model
SOJA,PR,2017,ridge_by_state,2.447682,20.382292,3152.4487,3794.99,model
SOJA,RS,2017,ridge_by_state,12.401383,30.334022,2594.8712,3382.0,model
SOJA,BA,2018,baseline_trend,0.0,31.292361,3016.154154,3959.98,baseline
SOJA,GO,2018,baseline_trend,0.0,11.647888,3232.483908,3609.0,baseline
SOJA,MG,2018,baseline_trend,0.0,18.861386,3205.422831,3810.01,baseline
SOJA,MS,2018,baseline_trend,0.0,18.044122,3080.204185,3636.0,baseline
SOJA,MT,2018,baseline_trend,0.0,6.85357,3264.280277,3488.0,baseline
SOJA,PR,2018,baseline_trend,0.0,11.758681,3282.071662,3668.0,baseline
SOJA,RS,2018,baseline_trend,0.0,17.180542,2755.576954,3229.0,baseline
